"seed","gen","variable","value","type","traits"
47,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.890132860730045,"rgHE","edu / height"
48,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.0658424059391722,"rgHE","edu / height"
48,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.982656654426418,"rgHE","edu / height"
48,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02337638881889,"rgHE","edu / height"
48,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02232871805562,"rgHE","edu / height"
48,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.15178942723765,"rgHE","edu / height"
48,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.925358117544233,"rgHE","edu / height"
49,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.0317079967408647,"rgHE","edu / height"
49,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00723434308117,"rgHE","edu / height"
49,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.0103523096977,"rgHE","edu / height"
49,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.08319196108594,"rgHE","edu / height"
49,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03054986456211,"rgHE","edu / height"
49,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05819030362205,"rgHE","edu / height"
5,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.0195164687308346,"rgHE","edu / height"
5,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.962693963003106,"rgHE","edu / height"
5,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.989730250882206,"rgHE","edu / height"
